Breakdown,ttm,9/29/2020,9/29/2019,9/29/2018,9/29/2017,finStat,group_name,sector
Total Revenue,"347,155,000","274,515,000","260,174,000","265,595,000","229,234,000",income statement,Apple,Technology
Cost of Revenue,"204,804,000","169,559,000","161,782,000","163,756,000","141,048,000",income statement,Apple,Technology
Gross Profit,"142,351,000","104,956,000","98,392,000","101,839,000","88,186,000",income statement,Apple,Technology
Operating Expense,"42,413,000","38,668,000","34,462,000","30,941,000","26,842,000",income statement,Apple,Technology
Operating Income,"99,938,000","66,288,000","63,930,000","70,898,000","61,344,000",income statement,Apple,Technology
Net Non Operating Interest Income Expense,"345,000","890,000","1,385,000","2,446,000","2,878,000",income statement,Apple,Technology
Other Income Expense,"577,000","-87,000","422,000","-441,000","-133,000",income statement,Apple,Technology
Pretax Income,"100,860,000","67,091,000","65,737,000","72,903,000","64,089,000",income statement,Apple,Technology
Tax Provision,"14,058,000","9,680,000","10,481,000","13,372,000","15,738,000",income statement,Apple,Technology
Net Income Common Stockholders,"86,802,000","57,411,000","55,256,000","59,531,000","48,351,000",income statement,Apple,Technology
Diluted NI Available to Com Stockholders,"86,802,000","57,411,000","55,256,000","59,531,000","48,351,000",income statement,Apple,Technology
Basic EPS,-,3.31,2.99,3.00,2.32,income statement,Apple,Technology
Diluted EPS,-,3.28,2.97,2.98,2.30,income statement,Apple,Technology
Basic Average Shares,-,"17,352,119","18,471,336","19,821,508","20,868,968",income statement,Apple,Technology
Diluted Average Shares,-,"17,528,214","18,595,652","20,000,436","21,006,768",income statement,Apple,Technology
Total Operating Income as Reported,"99,938,000","66,288,000","63,930,000","70,898,000","61,344,000",income statement,Apple,Technology
Total Expenses,"247,217,000","208,227,000","196,244,000","194,697,000","167,890,000",income statement,Apple,Technology
Net Income from Continuing & Discontinued Operation,"86,802,000","57,411,000","55,256,000","59,531,000","48,351,000",income statement,Apple,Technology
Normalized Income,"86,802,000","57,411,000","55,256,000","59,531,000","48,351,000",income statement,Apple,Technology
Interest Income,"2,952,000","3,763,000","4,961,000","5,686,000","5,201,000",income statement,Apple,Technology
Interest Expense,"2,607,000","2,873,000","3,576,000","3,240,000","2,323,000",income statement,Apple,Technology
Net Interest Income,"345,000","890,000","1,385,000","2,446,000","2,878,000",income statement,Apple,Technology
EBIT,"103,467,000","69,964,000","69,313,000","76,143,000","66,412,000",income statement,Apple,Technology
EBITDA,"114,464,000",-,-,-,-,income statement,Apple,Technology
Reconciled Cost of Revenue,"204,804,000","169,559,000","161,782,000","163,756,000","141,048,000",income statement,Apple,Technology
Reconciled Depreciation,"10,997,000","11,056,000","12,547,000","10,903,000","10,157,000",income statement,Apple,Technology
Net Income from Continuing Operation Net Minority Interest,"86,802,000","57,411,000","55,256,000","59,531,000","48,351,000",income statement,Apple,Technology
Normalized EBITDA,"114,464,000","81,020,000","81,860,000","87,046,000","76,569,000",income statement,Apple,Technology
Tax Rate for Calcs,0,0,0,0,0,income statement,Apple,Technology
Tax Effect of Unusual Items,0,0,0,0,0,income statement,Apple,Technology
